rank,company,agility_score,response_score,threat_score,total_tokens,threat_words_found,response_words_found,top_threat_words,top_response_words
1,KOTAKBANK_2024,96.3116,10.8329,0.1125,1638,1,1,risk(0.1125),hedge(10.8329)
2,COALINDIA_2024,13.2949,2.9908,0.225,283,1,2,risk(0.225),"expect_may(2.7515), address(0.2392)"
3,HDFCLIFE_2024,10.3611,10.7958,1.042,817,2,5,"uncertainty(0.5921), risk(0.4499)","demonstrate_accountability(2.7515), commitment_customer_centricity(2.7515), regulatory_expectation(2.7515), delivering_long_term(2.0584), proactively(0.4829)"
4,BEL_2024,3.6891,54.962,14.8987,10229,9,25,"competition(3.5523), complexity_supply_chain(2.7515), raw_material_price(1.7707), cyber_attack(1.6529), risk(1.4622)","cyber_security_threat(6.314), technological_landscape(4.9277), maintain_competitive_edge(3.8085), diversify(2.9045), speed_agility(2.7515)"
5,HINDUNILVR_2024,3.245,33.0152,10.1743,3423,7,19,"challenging_operating_environment(2.7515), weather_pattern(2.4639), uneven(2.0584), headwind(1.4523), volatility(0.6313)","agile(3.8802), near_term_challenge(2.7515), remains_future_ready(2.7515), resource_scarcity(2.7515), respond_effectively(2.4639)"
6,TCS_2024,2.8844,67.858,23.5256,11310,16,26,"geopolitical_volatility(2.4639), recessionary(2.2407), rebalancing(2.2407), high_inflation(2.0584), tightening(1.9042)","transform(14.5013), societal_challenge(6.314), stay_relevant(5.5031), predictive_capability(3.157), drive_value_creation(3.157)"
7,LT_2024,2.5621,16.3372,6.3764,2231,6,15,"unpredictable(2.0584), policy_uncertainty(1.5476), disruption(1.1086), geopolitical(0.9598), challenge(0.5896)","swiftly_evolving(2.7515), climate_challenge(2.7515), fast_changing_world(2.2407), reshaped(2.2407), adapt(1.0776)"
8,TITAN_2024,2.449,41.7233,17.0368,17804,8,21,"may_trigger(6.314), risk(2.6995), regulatory_scrutiny(2.2407), unforeseen(1.7707), pandemic(1.2852)","iot_cloud(6.314), upgrading_technology(4.9277), particularly_price_sensitive(3.157), economic_shift(2.7515), help_anticipate(2.7515)"
9,WIPRO_2024,2.4138,211.5592,87.6451,17569,26,57,"risk(22.3831), challenge(5.896), reputational_damage(5.3121), crisis(5.0847), disruption(4.4345)","consulting_design(15.4006), navigate_uncertainty(9.471), transform(8.8619), domain_knowledge(8.2546), analyze(7.3916)"
10,TATACONSUM_2024,2.0043,113.6067,56.6808,22657,20,39,"challenge(6.4856), water_borne(6.314), risk(5.174), physical_transitional(4.9277), extreme_weather(4.4814)","amplify_indigenous(6.314), unlock_efficiency(6.314), strive_implement(6.314), solving_complex(6.314), changing_consumer(6.1752)"
11,NTPC_2024,1.9805,255.9289,129.2215,51340,35,56,"risk(13.7223), infrastructure_designed_withstand(11.5504), climate_change_posing(6.314), threat_may(6.314), situation_increased(6.314)","access_deception(15.4006), equip_employee(12.3503), unified_endpoint(11.5504), center_soc(11.5504), pumped_hydro_storage(11.5504)"
12,TATASTEEL_2024,1.8761,24.3552,12.9821,6416,7,16,"risk(3.5993), induced(2.7515), russia_ukraine(2.4639), raw_material_price(1.7707), instability(1.6529)","societal_challenge(3.157), discharge_responsibility(2.7515), geopolitical_challenge(2.7515), macroeconomic_factor(2.4639), trade_tariff(2.4639)"
13,INFOSYS_2024,1.7629,7.3258,4.1557,3533,3,5,"could_disrupt(2.4639), crisis(1.0169), risk(0.6749)","meet_expectation(2.7515), analyze(2.4639), address(0.9569), strengthen(0.7999), effectively(0.3536)"
14,SBILIFE_2024,1.7546,75.5649,43.0667,15088,17,31,"risk(11.9227), global_uncertainty(3.3058), headwind(2.9045), geo_political(2.9045), likely_face(2.7515)","bank_fully_aware(6.314), tariff_related(5.5031), disruption_natural_disaster(4.9277), improve(3.2379), communicate_corporate(3.157)"
15,MARUTI_2024,1.6668,61.9504,37.1675,16227,14,26,"confidential_information(6.314), face_increasing(4.9277), inflationary(4.1168), risk(3.9367), threat(2.6884)","national_priority_societal(11.5504), improve(6.7995), manipulation(2.7515), speed_agility(2.7515), prosper(2.7515)"
16,ICICIBANK_2024,1.6138,5.6098,3.4762,1323,2,3,"global_geopolitical(2.4639), risk(1.0123)","simplifying_process(2.7515), delivering_long_term(2.0584), strengthen(0.7999)"
17,BAJFINANCE_2024,1.5999,100.7908,63.0,18184,24,31,"risk(12.0351), identifying_assessing(4.4814), currency_depreciation(3.157), interest_rate_movement(3.157), reciprocal_tariff(3.157)","ensured_despite(11.5504), finai(11.5504), hedge(7.7378), intellectual_developmental(6.314), elevated_interest_rate(5.5031)"
18,GRASIM_2024,1.542,241.7705,156.7916,25286,49,77,"risk(14.5097), reputational_damage(7.0828), confrontation(6.314), reciprocal_tariff(6.314), precipitation_pattern(6.314)","evolving_stakeholder_expectation(8.2546), strengthen(6.9323), build_resilience(6.7221), emerging_challenge(6.7221), improve(6.4757)"
19,BRITANNIA_2024,1.4924,75.7634,50.7661,9917,23,35,"intensifying_competition(4.9277), intensified_competition(4.9277), economic_slowdown(3.5414), challenge(3.5376), competition(2.9603)","particularly_price_sensitive(6.314), stay_relevant(5.5031), fulfilling_life(3.157), varied_market(2.7515), automation_digitalisation(2.7515)"
20,TATAMOTORS_2024,1.3775,334.7156,242.9894,42164,64,93,"negatively_impact_tml(15.4006), risk(14.2847), upstream_medium_term(11.5504), challenge(9.1388), slowdown(7.2665)","macroeconomic_factor(9.8554), address(8.373), regulatory_legal(8.2546), regulatory_reputational(6.314), thoroughly_investigated(6.314)"
21,ADANIENT_2024,1.3403,305.6317,228.0331,36325,59,96,"risk(15.7469), exceptional_drought(15.4006), challenge_posed(14.7831), precipitation_intensity(11.5504), chronic_heat(11.5504)","adapt(6.4654), indigenous_capability(6.314), short_selling(6.314), production_delay(6.314), flexible_working_hour(6.314)"
22,APOLLOHOSP_2024,1.3167,11.0668,8.4047,5477,5,5,"stroke(6.314), risk(0.6749), threat(0.6721), pressure(0.449), challenge(0.2948)","dedicate(5.5031), frontier(2.4639), anticipating(2.0584), address(0.7177), improve(0.3238)"
23,POWERGRID_2024,1.3021,88.7398,68.1498,16386,26,36,"residual_impact(6.314), climate_event(6.314), resilience_face(4.9277), challenge(4.422), risk(4.1617)","extreme_climatic(9.471), climate_vulnerable(6.314), address(3.8277), career_ending(3.157), flexible(2.8586)"
24,SBIN_2024,1.1946,78.2075,65.4669,22306,22,32,"risk(12.71), labour_market(8.2546), price_spike(3.157), geopolitical_tension(2.8793), induced(2.7515)","fast_changing(6.314), risky(6.314), risk_may_arise(5.5031), improve(4.8568), bank_fully_aware(3.157)"
25,DIVISLAB_2024,1.1828,71.2242,60.2163,14283,18,32,"negative_financial_implication(19.2507), risk(7.536), capacity_constraint(5.5031), political_economic(2.7515), currency_movement(2.7515)","disruptive_event(6.314), pursue_new_opportunity(6.314), frontier(4.9277), equal_access(2.7515), continuing_basis(2.7515)"
26,NESTLEIND_2024,1.1562,56.2928,48.6898,11478,24,29,"unpredictable(4.1168), crisis(4.0677), water_borne(3.157), persistent_inflationary_pressure(2.7515), swiftly_effectively(2.7515)","economic_volatility(3.157), economic_shift(2.7515), capitalize(2.7515), accelerated_digital(2.7515), confronting(2.7515)"
27,ADANIPORTS_2024,1.1561,33.1734,28.6954,5156,12,20,"panama(5.5031), disruption_red_sea(5.5031), rising_geopolitical(4.9277), undeniable(2.7515), uncertainty(2.3682)","turn_setback_comeback(6.314), short_selling(3.157), overcame(2.7515), competitive_position(2.7515), confident_ability(2.7515)"
28,CIPLA_2024,1.0539,209.827,199.0945,26825,47,65,"yoy_risk(42.3516), risk(11.6977), disrupt_manufacturing(11.5504), proactive_identification(9.8554), failure_comply(7.3916)","movement_linkage_mitigation(11.5504), adverse_impact_business(9.471), improve(7.1233), foreign_exchange_volatility(6.314), commitment_water_stewardship(6.314)"
29,TECHM_2024,0.9912,536.4083,541.1771,38518,89,117,"risk(38.5799), impact_low(38.5015), likelihood_occurrence(23.1009), climate_action_failure(23.1009), crisis(21.3556)","ifrs_description(15.4006), cognisant_importance(15.4006), immigration(12.628), current_anticipated_effect(11.5504), immigration_regulation(11.5504)"
30,MM_2024,0.9678,89.3525,92.3276,29719,35,31,"risk(10.9104), likely_face(5.5031), disruption(4.4345), uneven(4.1168), competition(3.5523)","communicate_corporate(6.314), discharge_responsibility(5.5031), address(5.5023), regulatory_penalty(4.9277), employee_equipped(4.4814)"
31,BAJAJFINSV_2024,0.9664,35.7895,37.034,12030,18,15,"risk(5.2865), dampen(2.7515), imminent(2.7515), grave(2.7515), may_still(2.7515)","escalation_tariff(6.314), intellectual_developmental(6.314), periodical_basis(2.7515), actively_seek_feedback(2.7515), abreast(2.4639)"
32,DRREDDY_2024,0.9439,80.6105,85.3982,23905,26,30,"geo_political_risk(15.4006), risk(14.1722), pandemic(5.1408), geopolitical_instability(4.4814), challenge(4.1272)","address_unmet(11.0061), improve(7.1233), thrive_evolving(5.5031), dynamism(4.9277), effectively_navigate(4.1168)"
33,JSWSTEEL_2024,0.9267,85.6378,92.4088,11804,30,33,"adjustment_mechanism(11.5504), carbon_border(11.5504), trade_tension(6.1752), risk(5.7364), theft(4.9277)","iot_cloud(6.314), give_flexibility(6.314), next_two_decade(5.5031), agility_innovation(4.9277), improve(4.2092)"
34,ITC_2024,0.8978,21.2315,23.6494,9286,13,13,"challenging_operating_environment(2.7515), frequency_extreme_weather(2.7515), pressing_challenge(2.7515), gdp_growth_expected(2.7515), weather_event(2.7515)","adaptation_plan(3.157), uncertain_volatile(3.157), discharge_responsibility(2.7515), structural_change(2.7515), near_term_challenge(2.7515)"
35,SUNPHARMA_2024,0.7738,34.6258,44.7461,13411,19,16,"budget_pressure(11.5504), pandemic(5.1408), deterioration(2.7515), uncertainty_related(2.7515), lingering(2.7515)","pharmaceutical_landscape(5.5031), address(3.8277), improve(3.2379), chronic_disease(2.7515), pricing_principal(2.7515)"
36,HEROMOTOCO_2024,0.7632,105.4716,138.1927,20464,46,39,"risk(8.2109), downward_pressure(6.314), policy_uncertainty(6.1903), challenge(5.896), downturn(5.5031)","ice_transition(11.5504), cleaner_smarter(6.314), simulating(5.5031), flexible(3.5733), agile(3.3259)"
37,ASIANPAINT_2024,0.7514,181.7711,241.9107,29825,53,65,"devaluation(23.1009), linkage_materiality_topic(19.2507), large_capex(11.5504), risk(10.7979), financial_loss(8.8535)","agitation(9.471), visualisation_tool(9.471), uncertain_volatile(6.314), continue_innovate(5.5031), attuned(4.9277)"
38,RELIANCE_2024,0.6447,73.3294,113.737,7653,29,31,"impact_risk_description(42.3516), risk(5.6239), oversupply(5.5031), tightening(3.8085), volatility(3.7876)","climate_challenge(5.5031), trade_tariff(4.9277), indigenous_capability(3.157), climate_change_consideration(3.157), data_theft(3.157)"
39,BPCL_2024,0.5978,162.9056,272.5211,47566,68,59,"negative_implication_include(23.1009), risk(13.6098), gasoline_crack(11.5504), challenge(10.6128), geopolitical_tension(10.5575)","diversify(8.7135), legal_liability(7.3916), geopolitical_conflict(6.7221), remains_agile(4.9277), adapt_changing(4.9277)"
40,INDUSINDBK_2024,0.3056,13.5317,44.2851,2208,20,9,"catalyzed(6.314), challenging_operating_environment(5.5031), slowdown(3.6333), dampen(2.7515), lingering(2.7515)","geopolitical_shift(3.157), turbulent(2.7515), trade_tariff(2.4639), resilient(1.4146), agile(1.1086)"
41,ULTRACEMCO_2024,0.2928,6.068,20.725,2629,13,5,"may_still(2.7515), global_headwind(2.4639), diminishing(2.4639), geopolitical_instability(2.2407), protectionism(2.0584)","deep_domain_knowledge(2.7515), reshaped(2.2407), proactively(0.4829), resilient(0.3536), address(0.2392)"
42,HINDALCO_2024,0.2059,13.9716,67.8597,2742,25,8,"lme_price(15.4006), trade_tension(6.1752), instability(4.9588), policy_uncertainty(3.0951), reliance_third_party(2.7515)","long_term_competitiveness(3.157), risky(3.157), diversify(2.9045), protectionist(2.7515), swiftly(1.1421)"
43,SHRIRAMFIN_2024,0.1724,3.4915,20.2495,4149,11,3,"persistent_geopolitical_tension(2.7515), temporarily(2.7515), rebalancing(2.2407), trade_war(2.2407), protectionism(2.0584)","proactive_step(2.7515), expand(0.4162), improve(0.3238)"
44,AXISBANK_2024,0.0,4.9599,0.0,1002,0,4,,"ability_serve(2.7515), adapt(1.0776), flexible(0.7147), expand(0.4162)"
45,BHARTIARTL_2024,0.0,4.5345,0.0,1218,0,3,,"expect_may(2.7515), flexible(1.4293), resilient(0.3536)"
46,ONGC_2024,0.0,0.0,0.0,172,0,0,,
47,TRENT_2024,0.0,0.0,0.0,152,0,0,,
